[1, 1, 1, 1, 1, 1] (False, [])
[1, 1, 1, 1, 1, 2] (False, [])
[1, 1, 1, 1, 1, 3] (False, [])
[1, 1, 1, 1, 1, 4] (False, [])
[1, 1, 1, 1, 1, 5] (False, [])
[1, 1, 1, 1, 1, 6] (False, [])
[1, 1, 1, 1, 1, 7] (False, [])
[1, 1, 1, 1, 1, 8] (False, [])
[1, 1, 1, 1, 1, 9] (False, [])
[1, 1, 1, 1, 1, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 2, 2] (False, [])
[1, 1, 1, 1, 2, 3] (False, [])
[1, 1, 1, 1, 2, 4] (False, [])
[1, 1, 1, 1, 2, 5] (False, [])
[1, 1, 1, 1, 2, 6] (False, [])
[1, 1, 1, 1, 2, 7] (False, [])
[1, 1, 1, 1, 2, 8] (False, [])
[1, 1, 1, 1, 2, 9] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 2, 10] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 3, 3] (False, [])
[1, 1, 1, 1, 3, 4] (False, [])
[1, 1, 1, 1, 3, 5] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 1, 3, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 3, 7] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 1, 3, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 3, 9] (True, ['1+1=2', '2+1=3', '7*3=21', '21-1=20', '20*3=60'])
[1, 1, 1, 1, 3, 10] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 1, 4, 4] (True, ['1+1=2', '1+1=2', '2+2=4', '4*3=12', '12*5=60'])
[1, 1, 1, 1, 4, 5] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 4, 6] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
[1, 1, 1, 1, 4, 7] (True, ['1+1=2', '1+1=2', '7*4=28', '28+2=30', '30*2=60'])
[1, 1, 1, 1, 4, 8] (True, ['1+1=2', '1+1=2', '2+1=3', '3*2=6', '10*6=60'])
